cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2024-01,1.0,0.08530805687203792,0.09004739336492891,0.08056872037914692,0.07227488151658767,0.08886255924170616,0.09123222748815166,0.07227488151658767,0.06753554502369669,0.06872037914691943,0.1018957345971564,0.08293838862559241,0.08886255924170616,0.08175355450236967,0.08175355450236967,0.07819905213270142,0.09123222748815166,0.08530805687203792,0.09360189573459715,0.08767772511848342,0.08886255924170616,0.08175355450236967,0.04739336492890995
2024-02,1.0,0.10267229254571027,0.09985935302390998,0.090014064697609,0.07454289732770746,0.10267229254571027,0.09282700421940929,0.09563994374120956,0.09845288326300984,0.07876230661040788,0.09845288326300984,0.08579465541490858,0.08720112517580872,0.08157524613220815,0.08157524613220815,0.08720112517580872,0.07032348804500703,0.09142053445850915,0.09282700421940929,0.08720112517580872,0.07735583684950774,0.05625879043600562,
2024-03,1.0,0.0933852140077821,0.07133592736705577,0.08949416342412451,0.08690012970168612,0.0648508430609598,0.08690012970168612,0.09987029831387809,0.0907911802853437,0.0959792477302205,0.07782101167315175,0.07263294422827497,0.07522697795071336,0.07911802853437094,0.0907911802853437,0.0933852140077821,0.09727626459143969,0.07782101167315175,0.08041504539559015,0.07911802853437094,0.040207522697795074,,
2024-04,1.0,0.08702064896755163,0.08849557522123894,0.07374631268436578,0.0855457227138643,0.0943952802359882,0.10471976401179942,0.06784660766961652,0.07079646017699115,0.10176991150442478,0.05752212389380531,0.06932153392330384,0.09734513274336283,0.11504424778761062,0.07374631268436578,0.08259587020648967,0.084070796460177,0.08997050147492626,0.07964601769911504,0.04129793510324484,,,
2024-05,1.0,0.09562398703403566,0.07941653160453808,0.09238249594813615,0.09562398703403566,0.06482982171799027,0.0940032414910859,0.06645056726094004,0.08589951377633712,0.07941653160453808,0.07941653160453808,0.07941653160453808,0.09886547811993517,0.09076175040518639,0.08752025931928688,0.08752025931928688,0.0713128038897893,0.08914100486223663,0.03565640194489465,,,,
2024-06,1.0,0.09908256880733946,0.07339449541284404,0.08807339449541285,0.08440366972477065,0.09541284403669725,0.06605504587155964,0.08807339449541285,0.062385321100917435,0.08807339449541285,0.07706422018348624,0.08073394495412844,0.06422018348623854,0.08623853211009175,0.09724770642201835,0.10275229357798166,0.09724770642201835,0.03669724770642202,,,,,
2024-07,1.0,0.08687615526802218,0.07948243992606285,0.08317929759704251,0.07763401109057301,0.06839186691312385,0.08133086876155268,0.10720887245841035,0.08317929759704251,0.06469500924214418,0.07393715341959335,0.07763401109057301,0.08502772643253234,0.08872458410351201,0.06839186691312385,0.09057301293900184,0.036968576709796676,,,,,,
2024-08,1.0,0.0670995670995671,0.09740259740259741,0.10606060606060606,0.08225108225108226,0.09523809523809523,0.08441558441558442,0.09523809523809523,0.11038961038961038,0.08441558441558442,0.09090909090909091,0.08658008658008658,0.09956709956709957,0.06277056277056277,0.09740259740259741,0.04112554112554113,,,,,,,
2024-09,1.0,0.0774818401937046,0.0847457627118644,0.09685230024213075,0.05811138014527845,0.07506053268765134,0.07990314769975787,0.09685230024213075,0.09685230024213075,0.06779661016949153,0.06053268765133172,0.06779661016949153,0.10411622276029056,0.07990314769975787,0.043583535108958835,,,,,,,,
2024-10,1.0,0.06266318537859007,0.07571801566579635,0.0731070496083551,0.10704960835509138,0.09399477806788512,0.08616187989556136,0.06266318537859007,0.09399477806788512,0.07571801566579635,0.08616187989556136,0.1122715404699739,0.0783289817232376,0.0391644908616188,,,,,,,,,
2024-11,1.0,0.08150470219435736,0.07210031347962383,0.08463949843260188,0.0877742946708464,0.05642633228840126,0.08150470219435736,0.0877742946708464,0.10031347962382445,0.0877742946708464,0.09404388714733543,0.09090909090909091,0.02821316614420063,,,,,,,,,,
2024-12,1.0,0.08708708708708708,0.06306306306306306,0.0990990990990991,0.06006006006006006,0.0960960960960961,0.08108108108108109,0.057057057057057055,0.0960960960960961,0.12012012012012012,0.08108108108108109,0.05105105105105105,,,,,,,,,,,
2025-01,1.0,0.07432432432432433,0.07432432432432433,0.10810810810810811,0.10810810810810811,0.10135135135135136,0.08445945945945946,0.10472972972972973,0.10810810810810811,0.08108108108108109,0.02364864864864865,,,,,,,,,,,,
2025-02,1.0,0.11297071129707113,0.0794979079497908,0.06694560669456066,0.09205020920502092,0.12133891213389121,0.0794979079497908,0.07531380753138076,0.08368200836820083,0.03347280334728033,,,,,,,,,,,,,
2025-03,1.0,0.12601626016260162,0.07723577235772358,0.09349593495934959,0.07317073170731707,0.08130081300813008,0.056910569105691054,0.11382113821138211,0.024390243902439025,,,,,,,,,,,,,,
2025-04,1.0,0.065,0.07,0.095,0.115,0.07,0.05,0.055,,,,,,,,,,,,,,,
2025-05,1.0,0.14795918367346939,0.12755102040816327,0.061224489795918366,0.08163265306122448,0.11224489795918367,0.025510204081632654,,,,,,,,,,,,,,,,
2025-06,1.0,0.03910614525139665,0.13966480446927373,0.055865921787709494,0.09497206703910614,0.03910614525139665,,,,,,,,,,,,,,,,,
2025-07,1.0,0.07471264367816093,0.04597701149425287,0.07471264367816093,0.034482758620689655,,,,,,,,,,,,,,,,,,
2025-08,1.0,0.09210526315789473,0.08552631578947369,0.006578947368421052,,,,,,,,,,,,,,,,,,,
2025-09,1.0,0.0641025641025641,0.038461538461538464,,,,,,,,,,,,,,,,,,,,
2025-10,1.0,0.03597122302158273,,,,,,,,,,,,,,,,,,,,,
2025-11,1.0,,,,,,,,,,,,,,,,,,,,,,
